Time (seconds),Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Compass X,Compass Y,Compass Z,Wheel Speed Front Right,Wheel Speed Front Left,Wheel Speed Back Right,Wheel Speed Back Left,Average Wheel Speed,
0.004,-0.00439,-0.02125,1.00021,-0.74524,0.69489,-0.23486,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.054,-0.00305,-0.02163,1.0009,-0.84595,0.56396,-0.14763,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.103,-0.00622,-0.02068,1.00067,-0.77545,0.50354,0.0,-0.39996,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.167,-0.00694,-0.02056,1.00067,-1.12793,0.35248,-0.30867,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.205,-0.00385,-0.0211,1.00121,-0.91644,0.59418,-0.27512,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.267,-0.00748,-0.0211,1.00082,-1.0675,0.4834,-0.08723,-0.39996,0.44844,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.303,-0.00252,-0.02136,1.0006,-1.15814,0.55389,-0.24828,-0.39996,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.353,-0.00534,-0.02071,1.00082,-1.11786,0.47333,0.03355,-0.39996,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.403,-0.00458,-0.02056,1.00056,-0.99701,0.62439,-0.33551,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.453,-0.00381,-0.0214,0.99979,-1.11786,0.70496,-0.23486,-0.39996,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.52,-0.00347,-0.02163,1.00052,-0.71503,0.63446,-0.16105,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.554,-0.00465,-0.02159,1.00101,-0.77545,0.51361,-0.20131,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.604,-0.00553,-0.0214,1.00063,-0.88623,0.46326,-0.20131,-0.39693,0.44238,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.653,-0.00492,-0.02148,1.00025,-0.76538,0.59418,-0.09394,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.703,-0.00454,-0.0219,1.00044,-0.78552,0.63446,-0.09394,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.753,-0.00469,-0.02167,1.0009,-0.69489,0.58411,-0.1275,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.804,-0.00576,-0.02117,1.00018,-1.04736,0.45319,-0.05368,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.854,-0.00504,-0.02121,1.00033,-1.17828,0.61432,-0.2617,-0.39996,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.904,-0.00465,-0.02083,1.00094,-0.84595,0.54382,-0.20131,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.953,-0.00572,-0.02117,1.00037,-0.71503,0.6546,-0.21473,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.004,-0.00515,-0.02182,1.00048,-0.94666,0.42297,-0.34222,-0.39996,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.053,-0.00515,-0.02144,1.00082,-0.79559,0.75531,-0.04697,-0.39996,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.103,-0.00408,-0.02167,1.00056,-0.79559,0.69489,-0.14763,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.153,-0.00519,-0.02129,1.0006,-0.74524,0.44312,-0.11407,-0.39996,0.44541,-0.78174,0.0,0.0,0.0,0.0,0.0,
1.203,-0.00477,-0.02182,1.00048,-0.81573,0.54382,-0.17447,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.254,-0.0045,-0.02132,1.00098,-0.83588,0.61432,-0.1275,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.303,-0.00553,-0.02094,1.00002,-0.70496,0.49347,-0.31538,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.354,-0.00454,-0.02178,1.00056,-0.91644,0.60425,-0.3288,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.404,-0.00484,-0.02151,1.0006,-0.91644,0.90637,-0.25499,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.453,-0.00504,-0.02121,1.00121,-0.7251,0.58411,-0.28854,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.503,-0.00481,-0.02174,1.00025,-1.09772,0.56396,-0.20131,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.554,-0.00492,-0.02148,1.00109,-0.90637,0.39276,-0.31538,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.603,-0.00561,-0.02144,1.00079,-0.97687,0.49347,-0.0671,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.653,-0.00515,-0.0214,1.00071,-0.66467,0.66467,-0.05368,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.704,-0.00458,-0.02132,1.0001,-0.93658,0.70496,-0.16776,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.753,-0.0053,-0.02117,1.00098,-1.10779,0.52368,-0.22144,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.803,-0.00458,-0.02159,1.00071,-0.80566,0.6546,-0.07381,-0.39996,0.44541,-0.78174,0.0,0.0,0.0,0.0,0.0,
1.854,-0.00565,-0.02064,1.00056,-1.04736,0.50354,-0.12079,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.903,-0.00454,-0.02129,1.00067,-0.74524,0.33234,-0.17447,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
1.953,-0.00568,-0.02056,1.00079,-0.80566,0.63446,-0.10736,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.004,-0.00519,-0.02155,1.00021,-0.70496,0.43304,-0.04697,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.054,-0.0045,-0.02182,1.00033,-0.6546,0.58411,-0.16105,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.103,-0.00481,-0.02171,1.00056,-0.90637,0.63446,0.08723,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.154,-0.00481,-0.02209,1.00101,-0.93658,0.57404,-0.20802,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.203,-0.00534,-0.02155,1.00056,-1.03729,0.51361,-0.08723,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.254,-0.0042,-0.02148,1.00018,-1.10779,0.55389,-0.10736,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.303,-0.00492,-0.02174,1.00006,-0.80566,0.75531,-0.38249,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.354,-0.00549,-0.02151,1.00079,-0.68481,0.39276,-0.05368,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.404,-0.00481,-0.02148,1.0004,-1.19843,0.55389,-0.12079,-0.39996,0.44541,-0.78174,0.0,0.0,0.0,0.0,0.0,
2.453,-0.00523,-0.02106,0.99983,-0.77545,0.57404,-0.08052,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.503,-0.00507,-0.0214,1.00025,-1.04736,0.35248,-0.23486,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.554,-0.0053,-0.02117,1.0006,-1.04736,0.54382,-0.09394,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.604,-0.00523,-0.02216,1.00014,-0.55389,0.64453,-0.14092,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.653,-0.00378,-0.02201,1.00006,-0.68481,0.67474,-0.28854,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.703,-0.00576,-0.02144,1.00025,-0.9668,0.18127,-0.02013,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.753,-0.00454,-0.02251,1.00063,-0.61432,0.59418,-0.40262,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.803,-0.00504,-0.02159,1.00109,-0.54382,0.44312,-0.17447,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.854,-0.00458,-0.02148,1.0004,-0.73517,0.53375,-0.22144,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.903,-0.00404,-0.02148,1.00063,-0.95673,0.4834,-0.26841,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
2.953,-0.00498,-0.02073,1.00082,-0.95337,0.69153,-0.17894,-0.39996,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
