Time (seconds),Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Compass X,Compass Y,Compass Z,Wheel Speed Front Right,Wheel Speed Front Left,Wheel Speed Back Right,Wheel Speed Back Left,Average Wheel Speed,
2.004,-0.00607,-0.02171,1.00025,-1.02722,0.4834,-0.31538,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.053,-0.00401,-0.02296,1.00002,-0.83588,0.55389,-0.28854,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.103,-0.00542,-0.02182,1.00063,-0.91644,0.49347,-0.30196,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.153,-0.00484,-0.02224,1.0009,-0.8963,0.69489,-0.23486,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.203,-0.00462,-0.02274,1.00052,-1.138,0.54382,-0.11407,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.254,-0.00538,-0.02155,0.99998,-0.85602,0.43304,-0.20802,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.304,-0.00515,-0.02266,0.99983,-0.78552,0.59418,-0.16105,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.353,-0.00507,-0.02132,1.00143,-0.80566,0.62439,-0.24828,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.404,-0.00568,-0.02216,1.00143,-1.08765,0.55389,-0.21473,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.454,-0.00515,-0.02167,1.00105,-0.90637,0.66467,-0.10065,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.503,-0.00439,-0.02201,1.00021,-0.73517,0.39276,-0.12079,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.554,-0.00584,-0.02262,0.99976,-0.83588,0.56396,-0.08052,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.603,-0.00473,-0.02178,1.00029,-0.93658,0.51361,-0.24828,-0.39693,0.44238,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.654,-0.00622,-0.02159,1.00094,-0.83588,0.58411,-0.05368,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.703,-0.00523,-0.02285,1.0001,-0.79559,0.57404,-0.0671,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.754,-0.00347,-0.02182,1.00037,-1.17828,0.38269,-0.30867,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.803,-0.00565,-0.02281,1.00002,-0.97687,0.62439,-0.07381,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.854,-0.00336,-0.02167,1.0014,-1.03729,0.56396,-0.1275,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
2.903,-0.0053,-0.02079,1.0009,-1.21857,0.57404,-0.05368,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
2.954,-0.00572,-0.02285,1.00056,-0.88623,0.6546,-0.17447,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
3.003,-0.00496,-0.01953,1.0004,-1.04736,0.55389,-0.27512,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
3.054,-0.0058,-0.02216,1.0001,-0.95673,0.58411,-0.0671,-0.39693,0.44541,-0.79083,0.0,0.0,0.0,0.0,0.0,
3.104,-0.00355,-0.02171,1.00105,-0.8963,0.49347,-0.26841,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.153,-0.00496,-0.02163,1.00033,-0.76538,0.68481,-0.3892,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.204,-0.00614,-0.02319,1.00044,-0.68481,0.75531,-0.13421,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.253,-0.00343,-0.02075,1.00025,-1.02722,0.70496,-0.05368,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.303,-0.00584,-0.023,1.00056,-0.81573,0.47333,-0.20802,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.354,-0.00359,-0.02327,1.00037,-0.7251,0.51361,-0.15434,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.403,-0.00507,-0.02102,1.00094,-0.77545,0.74524,-0.17447,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.454,-0.00641,-0.02277,0.99972,-0.71503,0.64453,-0.22144,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.503,-0.00378,-0.02213,0.99998,-1.138,0.40283,-0.1275,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.554,-0.0045,-0.02232,1.0004,-0.99701,0.62439,-0.50998,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
3.604,-0.00511,-0.02071,1.00037,-0.67474,0.62439,-0.10736,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.653,-0.0045,-0.02136,1.00048,-0.68481,0.52368,-0.04697,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.704,-0.00591,-0.02125,1.00052,-0.69489,0.30212,-0.3288,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
3.753,-0.00393,-0.02132,1.00002,-0.97687,0.60425,-0.10065,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.804,-0.00542,-0.02132,1.00094,-0.87616,0.40283,-0.18789,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
3.853,-0.00553,-0.02186,1.00067,-1.05743,0.62439,-0.07381,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
