Time (seconds),Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Compass X,Compass Y,Compass Z,Wheel Speed Front Right,Wheel Speed Front Left,Wheel Speed Back Right,Wheel Speed Back Left,Average Wheel Speed,
0.005,-0.00401,-0.02205,1.00094,-0.98694,0.57404,-0.09394,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.054,-0.00568,-0.02274,1.00079,-0.74524,0.53375,-0.23486,-0.39693,0.44238,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.105,-0.00397,-0.02041,1.00098,-1.07758,0.42297,-0.21473,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.154,-0.00278,-0.02258,0.99945,-0.57404,0.55389,-0.10736,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.204,-0.00462,-0.02083,0.99983,-0.63446,0.55389,-0.08723,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.254,-0.0042,-0.02235,1.00105,-0.87616,0.37262,-0.21473,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.305,-0.00427,-0.02293,1.00086,-1.07758,0.44312,0.08052,-0.3939,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.354,-0.00465,-0.02075,1.00006,-0.90637,0.53375,-0.16776,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.404,-0.00546,-0.02083,1.00117,-0.99701,0.56396,0.02013,-0.39693,0.44238,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.455,-0.00591,-0.02293,0.99998,-0.71503,0.32227,-0.13421,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.504,-0.00431,-0.02068,1.00109,-0.7251,0.76538,-0.07381,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.555,-0.00618,-0.02197,1.0004,-0.67474,0.36255,-0.16105,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.604,-0.00481,-0.02281,0.9996,-1.12793,0.71503,-0.08723,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.654,-0.00416,-0.0219,1.0017,-0.71503,0.31219,-0.04697,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.705,-0.00645,-0.02205,1.00018,-1.21857,0.47333,-0.1946,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.754,-0.00469,-0.02205,0.99915,-0.82581,0.47333,-0.16105,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.805,-0.00381,-0.02201,1.00121,-0.70496,0.47333,-0.04697,-0.39693,0.44238,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.854,-0.00607,-0.02155,1.00082,-0.68481,0.45319,-0.08723,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.904,-0.00549,-0.02144,1.00025,-1.08765,0.50354,-0.05368,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.955,-0.00454,-0.02163,1.00147,-0.87616,0.4129,-0.11407,-0.3939,0.44238,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.005,-0.00656,-0.02171,1.0001,-0.8963,0.50354,-0.22815,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.054,-0.00423,-0.02205,1.00079,-0.66467,0.70496,-0.40262,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.104,-0.00549,-0.02247,0.99995,-0.76538,0.39276,-0.26841,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.154,-0.00523,-0.02228,1.00002,-1.07758,0.76538,-0.20131,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
1.204,-0.00473,-0.02277,1.0009,-1.02722,0.55389,-0.3288,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
