Time (seconds),Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Compass X,Compass Y,Compass Z,Wheel Speed Front Right,Wheel Speed Front Left,Wheel Speed Back Right,Wheel Speed Back Left,Average Wheel Speed,
0.004,-0.00519,-0.02453,0.99854,-1.05743,0.70496,-0.14092,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.055,-0.00656,-0.02357,0.99937,-1.08765,0.64453,-0.36236,-0.3939,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.104,-0.00355,-0.02178,1.00018,-0.6546,0.62439,-0.22144,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.155,-0.00385,-0.02289,1.00029,-0.68481,0.51361,-0.1275,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.204,-0.00401,-0.0201,1.00101,-0.80566,0.62439,-0.1946,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.255,-0.00385,-0.02193,1.00018,-0.81573,0.45319,-0.18118,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.304,-0.00416,-0.02327,1.00033,-0.66467,0.70496,-0.21473,-0.39693,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.354,-0.0045,-0.02083,1.00079,-0.97687,0.62439,0.12079,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.404,-0.00557,-0.02163,1.00006,-0.91644,0.67474,-0.3892,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.454,-0.00519,-0.02136,1.00048,-1.01715,0.44312,-0.27512,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.505,-0.00351,-0.02167,1.00006,-0.70496,0.79559,-0.01342,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.554,-0.00519,-0.02167,1.00086,-0.95673,0.47333,-0.18118,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.605,-0.00481,-0.02274,0.99995,-0.78552,0.56396,0.02013,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.654,-0.00462,-0.02239,1.00037,-0.86609,0.71503,-0.34893,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.705,-0.00431,-0.02251,1.00037,-0.95673,0.45319,-0.11407,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.754,-0.00542,-0.02224,0.99995,-0.86609,0.75531,-0.10736,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.805,-0.00519,-0.02216,1.00079,-0.75531,0.64453,-0.35565,-0.3939,0.44541,-0.78477,0.0,0.0,0.0,0.0,0.0,
0.855,-0.00511,-0.02182,1.00071,-0.9668,0.45319,0.10065,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.904,-0.005,-0.02262,0.99998,-0.64453,0.61432,-0.0671,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
