Time (seconds),Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Compass X,Compass Y,Compass Z,Wheel Speed Front Right,Wheel Speed Front Left,Wheel Speed Back Right,Wheel Speed Back Left,Average Wheel Speed,
0.008,-0.00465,-0.02171,1.00254,-0.98694,0.52368,-0.05368,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.057,-0.00637,-0.02003,1.00132,-0.66467,0.42297,-0.30196,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.108,-0.00435,-0.0209,0.99968,-0.7251,0.39276,-0.24157,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.157,-0.00324,-0.02121,1.0004,-0.87616,0.2417,-0.27512,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.208,-0.00423,-0.02102,1.00101,-0.85602,0.45319,-0.13421,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.258,-0.00397,-0.01915,1.00101,-0.82581,0.78552,-0.40262,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.307,-0.00492,-0.0222,1.00044,-0.95673,0.61432,-0.28183,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.357,-0.00286,-0.02205,0.99949,-0.99701,0.47333,-0.23486,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.408,-0.00454,-0.0214,1.00071,-1.138,0.38269,0.01342,-0.3939,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.457,-0.00477,-0.02125,1.00071,-0.82581,0.59418,-0.30196,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.507,-0.00423,-0.02205,0.99976,-0.9668,0.4129,-0.20131,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.558,-0.00431,-0.02151,1.00052,-1.02722,0.54382,-0.10065,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.607,-0.00431,-0.02201,0.99995,-0.83588,0.63446,-0.09394,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.657,-0.00416,-0.0222,1.00029,-0.88623,0.57404,-0.10736,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
0.707,-0.00359,-0.02186,1.00101,-1.07758,0.6546,-0.07381,-0.39693,0.44541,-0.7878,0.0,0.0,0.0,0.0,0.0,
